T[MeV],muB[MeV],muS[MeV],muQ[MeV],nB[1/fm^3],nS[1/fm^3],nQ[1/fm^3],Q/B,e[MeV/fm^3],s[1/fm^3],s/nB,chi2,chi2/N_dof
142.5000000000,371.50001000,0.00000000,-4.20000000,1.170634e-01,5.181454e-15,5.319631e-02,4.544229e-01,3.586193e+02,2.599988e+00,2.221008e+01,17.997884,2.999647
142.5000000000,371.50001000,0.00000000,-4.10000000,1.171001e-01,5.079242e-15,5.334100e-02,4.555162e-01,3.586750e+02,2.600288e+00,2.220568e+01,17.990026,2.998338
142.5000000000,371.50001000,0.00000000,-4.00000000,1.171368e-01,4.981286e-15,5.348575e-02,4.566092e-01,3.587309e+02,2.600588e+00,2.220129e+01,17.983542,2.997257
142.5000000000,371.50001000,0.00000000,-3.90000000,1.171736e-01,4.940924e-15,5.363055e-02,4.577018e-01,3.587868e+02,2.600889e+00,2.219689e+01,17.978429,2.996405
142.5000000000,371.50001000,0.00000000,-3.80000000,1.172104e-01,4.865235e-15,5.377541e-02,4.587939e-01,3.588428e+02,2.601190e+00,2.219249e+01,17.974684,2.995781
142.5000000000,371.50001000,0.00000000,-3.70000000,1.172472e-01,4.797009e-15,5.392032e-02,4.598857e-01,3.588989e+02,2.601491e+00,2.218809e+01,17.972301,2.995384
142.5000000000,371.50001000,0.00000000,-3.60000000,1.172841e-01,4.704888e-15,5.406529e-02,4.609771e-01,3.589552e+02,2.601794e+00,2.218369e+01,17.971278,2.995213
142.5000000000,371.50001000,0.00000000,-3.50000000,1.173210e-01,4.676419e-15,5.421031e-02,4.620681e-01,3.590116e+02,2.602097e+00,2.217928e+01,17.971609,2.995268
142.5000000000,371.50001000,0.00000000,-3.40000000,1.173580e-01,4.586273e-15,5.435539e-02,4.631586e-01,3.590680e+02,2.602400e+00,2.217488e+01,17.973292,2.995549
142.5000000000,371.50001000,0.00000000,-3.30000000,1.173951e-01,4.519541e-15,5.450052e-02,4.642488e-01,3.591246e+02,2.602704e+00,2.217047e+01,17.976321,2.996054
142.5000000000,371.50001000,0.00000000,-3.20000000,1.174322e-01,4.436000e-15,5.464571e-02,4.653385e-01,3.591813e+02,2.603008e+00,2.216606e+01,17.980694,2.996782
142.5000000000,371.50001000,0.00000000,-3.10000000,1.174693e-01,4.381340e-15,5.479095e-02,4.664279e-01,3.592381e+02,2.603313e+00,2.216165e+01,17.986406,2.997734
142.5000000000,371.50001000,0.00000000,-3.00000000,1.175065e-01,4.307993e-15,5.493625e-02,4.675169e-01,3.592950e+02,2.603619e+00,2.215724e+01,17.993453,2.998909
142.5000000000,372.00001000,0.00000000,-4.70000000,1.172621e-01,5.809303e-15,5.265597e-02,4.490450e-01,3.589378e+02,2.601688e+00,2.218694e+01,17.987499,2.997917
142.5000000000,372.00001000,0.00000000,-4.60000000,1.172987e-01,5.726542e-15,5.280062e-02,4.501383e-01,3.589931e+02,2.601985e+00,2.218257e+01,17.975890,2.995982
142.5000000000,372.00001000,0.00000000,-4.50000000,1.173352e-01,5.615953e-15,5.294533e-02,4.512313e-01,3.590485e+02,2.602284e+00,2.217819e+01,17.965666,2.994278
142.5000000000,372.00001000,0.00000000,-4.40000000,1.173719e-01,5.558054e-15,5.309009e-02,4.523238e-01,3.591041e+02,2.602582e+00,2.217381e+01,17.956823,2.992804
