T,µB,µQ,µS,p/T^4,s/T^3,nB/T^3,nS/T^3,nQ/T^3,ε/T^4,cs2,chiBB/T^2,chiQQ/T^2,chiSS/T^2,chiBQ/T^2,chiBS/T^2,chiQS/T^2,chiTB/T^2,chiTQ/T^2,chiTS/T^2,chiTT/T^2
5,-400,800,-600,3.48018022e+00,3.00520223e+01,1.66609539e-14,-1.66202707e-14,4.93096490e+00,8.15526227e+02,6.77209966e-03,3.28538847e+00,8.21347116e+00,1.66202707e-14,1.64269423e+00,-1.66202707e-14,-1.66202707e-14,6.54708846e-13,3.89735582e+01,-6.54636715e-13,2.12763487e+02
5,-400,800,-400,3.48018109e+00,3.00520408e+01,3.69422988e-272,-3.69422988e-272,4.93096534e+00,8.15526314e+02,6.77201124e-03,3.28538847e+00,8.21347160e+00,8.69680488e-07,1.64269423e+00,-1.41217596e-31,4.34840244e-07,2.34769273e-269,3.89735670e+01,-2.34769273e-269,2.12763848e+02
5,-400,800,-200,3.48018022e+00,3.00520223e+01,-1.66609539e-14,1.66202707e-14,4.93096490e+00,8.15526227e+02,6.77209966e-03,3.28538847e+00,8.21347116e+00,1.66202707e-14,1.64269423e+00,-1.66202707e-14,1.66202707e-14,-6.54708846e-13,3.89735582e+01,6.54636715e-13,2.12763487e+02
5,-400,800,0,2.12833185e+03,2.36276538e+03,-1.41546639e+03,1.41546639e+03,1.42039736e+03,3.40735322e+05,1.02903671e-02,7.19760172e+02,7.24688259e+02,7.16474788e+02,-7.14832089e+02,-7.16474784e+02,7.16474788e+02,-6.20931353e+02,6.59905004e+02,6.20931447e+02,2.43504078e+03
5,-400,800,200,8.05576382e+06,9.18526061e+04,-5.27532348e+05,1.10048260e+06,5.27537279e+05,1.62663945e+08,5.85216876e-02,2.79232919e+04,2.79282199e+04,1.41023486e+05,-2.79183638e+04,-5.91504247e+04,5.91504247e+04,-3.59720324e+03,3.63617680e+03,6.28864066e+03,9.20173809e+04
5,-400,800,400,3.30728121e+08,6.72244521e+05,-8.86196245e+06,2.17083366e+07,8.86196740e+06,3.53348284e+09,1.00491415e-01,2.04244828e+05,2.04249775e+05,1.24997051e+06,-2.04239899e+05,-4.86877479e+05,4.86877498e+05,-1.50174879e+04,1.50566911e+04,3.57293925e+04,6.69523552e+05
5,-400,800,600,3.18948201e+09,2.66594155e+06,-5.63872532e+07,1.46044336e+08,5.61343173e+07,2.78309753e+10,1.37977397e-01,8.03206998e+05,7.92313543e+05,4.99909462e+06,-7.91383877e+05,-1.93432128e+06,1.91160470e+06,-3.12090111e+04,3.18141701e+04,6.45780618e+04,2.64891071e+06
5,-400,800,800,1.41861506e+10,5.21037151e+06,-1.70104615e+08,4.33905875e+08,1.66439836e+08,9.54827427e+10,1.83777821e-01,1.64388585e+06,1.55621614e+06,9.47134742e+06,-1.55620287e+06,-3.79393184e+06,3.62144241e+06,-5.41638264e+04,4.87563169e+04,1.18940100e+05,5.43447821e+06
5,-200,-800,-800,2.65890810e+09,2.11265415e+06,4.25347960e+07,-1.24256652e+08,-4.81437640e+07,2.32258793e+10,1.41106297e-01,6.37386935e+05,7.84775810e+05,4.32871966e+06,-4.81845595e+05,-1.56634218e+06,1.56099410e+06,1.42757029e+04,-2.25726068e+04,-4.07688517e+04,2.10064316e+06
5,-200,-800,-600,2.84339073e+08,6.26567063e+05,3.99816883e+06,-1.63647791e+07,-9.63641880e+06,3.06196125e+09,9.72079229e-02,1.89726146e+05,3.40707161e+05,1.04653743e+06,-3.68605535e+04,-3.74801195e+05,3.75721006e+05,7.74118713e+03,-1.81020260e+04,-3.05611594e+04,6.27080332e+05
