T[MeV],muB[MeV],muS[MeV],muQ[MeV],nB[1/fm^3],nS[1/fm^3],nQ[1/fm^3],Q/B,e[MeV/fm^3],s[1/fm^3],s/nB,chi2,chi2/N_dof
137.0000000000,19.00001000,0.00000000,-1.00000000,1.804061e-03,-2.372627e-14,2.086713e-04,1.156676e-01,1.544606e+02,1.357996e+00,7.527439e+02,5.562244,1.390561
137.0000000000,19.00001000,0.00000000,0.00000000,1.853059e-03,3.833594e-15,9.265297e-04,5.000000e-01,1.544686e+02,1.358050e+00,7.328690e+02,5.420534,1.355134
137.0000000000,19.00001000,0.00000000,1.00000000,1.902137e-03,-1.971947e-10,1.644486e-03,8.645462e-01,1.544803e+02,1.358126e+00,7.140001e+02,5.421342,1.355336
137.0000000000,19.00001000,0.00000000,2.00000000,1.951300e-03,-2.376968e-10,2.362602e-03,1.210784e+00,1.544959e+02,1.358225e+00,6.960619e+02,5.559668,1.389917
137.0000000000,19.00001000,0.00000000,3.00000000,2.000552e-03,8.439025e-14,3.080944e-03,1.540047e+00,1.545153e+02,1.358347e+00,6.789861e+02,5.830660,1.457665
137.0000000000,19.00001000,0.00000000,4.00000000,2.049898e-03,7.484922e-13,3.799572e-03,1.853542e+00,1.545385e+02,1.358491e+00,6.627113e+02,6.229608,1.557402
137.0000000000,19.00001000,0.00000000,5.00000000,2.099345e-03,3.299620e-12,4.518553e-03,2.152363e+00,1.545655e+02,1.358658e+00,6.471815e+02,6.751941,1.687985
137.0000000000,19.00001000,0.00000000,6.00000000,2.148897e-03,1.023650e-11,5.237948e-03,2.437505e+00,1.545963e+02,1.358847e+00,6.323460e+02,7.393224,1.848306
137.0000000000,20.00001000,0.00000000,-5.00000000,1.706707e-03,-2.224130e-11,-2.614339e-03,-1.531803e+00,1.544845e+02,1.358122e+00,7.957559e+02,7.321945,1.830486
137.0000000000,20.00001000,0.00000000,-4.00000000,1.755465e-03,-8.542643e-12,-1.896178e-03,-1.080157e+00,1.544778e+02,1.358090e+00,7.736351e+02,6.624203,1.656051
137.0000000000,20.00001000,0.00000000,-3.00000000,1.804286e-03,-2.567842e-12,-1.178169e-03,-6.529832e-01,1.544748e+02,1.358079e+00,7.526962e+02,6.087789,1.521947
137.0000000000,20.00001000,0.00000000,-2.00000000,1.853175e-03,-4.942052e-13,-4.602464e-04,-2.483556e-01,1.544757e+02,1.358092e+00,7.328458e+02,5.707166,1.426791
137.0000000000,20.00001000,0.00000000,-1.00000000,1.902137e-03,-2.337239e-14,2.576516e-04,1.354538e-01,1.544803e+02,1.358126e+00,7.140001e+02,5.476957,1.369239
137.0000000000,20.00001000,0.00000000,0.00000000,1.951178e-03,4.962079e-15,9.755889e-04,5.000000e-01,1.544888e+02,1.358184e+00,6.960840e+02,5.391945,1.347986
137.0000000000,20.00001000,0.00000000,1.00000000,2.000302e-03,-2.472570e-10,1.693629e-03,8.466865e-01,1.545011e+02,1.358263e+00,6.790292e+02,5.447062,1.361766
137.0000000000,20.00001000,0.00000000,2.00000000,2.049515e-03,-1.447788e-10,2.411835e-03,1.176783e+00,1.545172e+02,1.358366e+00,6.627744e+02,5.637393,1.409348
137.0000000000,20.00001000,0.00000000,3.00000000,2.098821e-03,6.985494e-14,3.130270e-03,1.491442e+00,1.545371e+02,1.358491e+00,6.472637e+02,5.958163,1.489541
137.0000000000,20.00001000,0.00000000,4.00000000,2.148227e-03,6.718041e-13,3.848999e-03,1.791709e+00,1.545608e+02,1.358638e+00,6.324463e+02,6.404741,1.601185
137.0000000000,20.00001000,0.00000000,5.00000000,2.197737e-03,3.059396e-12,4.568084e-03,2.078539e+00,1.545883e+02,1.358809e+00,6.182761e+02,6.972630,1.743158
137.0000000000,20.00001000,0.00000000,6.00000000,2.247357e-03,9.658989e-12,5.287589e-03,2.352803e+00,1.546197e+02,1.359001e+00,6.047109e+02,7.657466,1.914366
137.0000000000,21.00001000,0.00000000,-6.00000000,1.756013e-03,-5.089748e-11,-3.284031e-03,-1.870163e+00,1.545132e+02,1.358298e+00,7.735124e+02,7.844420,1.961105
137.0000000000,21.00001000,0.00000000,-5.00000000,1.804737e-03,-2.300890e-11,-2.565598e-03,-1.421592e+00,1.545032e+02,1.358246e+00,7.526007e+02,7.046940,1.761735
137.0000000000,21.00001000,0.00000000,-4.00000000,1.853522e-03,-8.882327e-12,-1.847375e-03,-9.966837e-01,1.544969e+02,1.358216e+00,7.327760e+02,6.413746,1.603436
137.0000000000,21.00001000,0.00000000,-3.00000000,1.902375e-03,-2.686436e-12,-1.129298e-03,-5.936253e-01,1.544945e+02,1.358210e+00,7.139548e+02,5.939226,1.484806
137.0000000000,21.00001000,0.00000000,-2.00000000,1.951300e-03,-5.194583e-13,-4.113029e-04,-2.107841e-01,1.544959e+02,1.358225e+00,6.960619e+02,5.617933,1.404483
137.0000000000,21.00001000,0.00000000,-1.00000000,2.000302e-03,-2.256230e-14,3.066731e-04,1.533134e-01,1.545011e+02,1.358263e+00,6.790292e+02,5.444578,1.361144
137.0000000000,21.00001000,0.00000000,0.00000000,2.049387e-03,6.349565e-15,1.024693e-03,5.000000e-01,1.545101e+02,1.358324e+00,6.627954e+02,5.414027,1.353507
137.0000000000,21.00001000,0.00000000,1.00000000,2.098560e-03,-2.999750e-10,1.742821e-03,8.304846e-01,1.545229e+02,1.358408e+00,6.473047e+02,5.521298,1.380324
137.0000000000,21.00001000,0.00000000,2.00000000,2.147825e-03,-7.546563e-11,2.461121e-03,1.145867e+00,1.545395e+02,1.358513e+00,6.325065e+02,5.761551,1.440388
137.0000000000,21.00001000,0.00000000,3.00000000,2.197189e-03,5.706295e-14,3.179655e-03,1.447147e+00,1.545599e+02,1.358642e+00,6.183546e+02,6.130091,1.532523
137.0000000000,21.00001000,0.00000000,4.00000000,2.246656e-03,6.001693e-13,3.898487e-03,1.735240e+00,1.545842e+02,1.358793e+00,6.048068e+02,6.622359,1.655590
137.0000000000,21.00001000,0.00000000,5.00000000,2.296231e-03,2.829993e-12,4.617681e-03,2.010982e+00,1.546122e+02,1.358966e+00,5.918247e+02,7.233932,1.808483
137.0000000000,21.00001000,0.00000000,6.00000000,2.345921e-03,9.100804e-12,5.337301e-03,2.275141e+00,1.546441e+02,1.359163e+00,5.793728e+02,7.960515,1.990129
137.0000000000,22.00001000,0.00000000,-6.00000000,1.854100e-03,-5.242848e-11,-3.235325e-03,-1.744957e+00,1.545324e+02,1.358425e+00,7.326598e+02,7.564910,1.891228
137.0000000000,22.00001000,0.00000000,-5.00000000,1.902849e-03,-2.379361e-11,-2.516831e-03,-1.322664e+00,1.545229e+02,1.358376e+00,7.138643e+02,6.832151,1.708038
137.0000000000,22.00001000,0.00000000,-4.00000000,1.951665e-03,-9.230030e-12,-1.798541e-03,-9.215420e-01,1.545172e+02,1.358350e+00,6.959956e+02,6.261018,1.565254
137.0000000000,22.00001000,0.00000000,-3.00000000,2.000552e-03,-2.807727e-12,-1.080392e-03,-5.400471e-01,1.545153e+02,1.358347e+00,6.789861e+02,5.845990,1.461497
137.0000000000,22.00001000,0.00000000,-2.00000000,2.049515e-03,-5.448805e-13,-3.623201e-04,-1.767833e-01,1.545172e+02,1.358366e+00,6.627744e+02,5.581708,1.395427
137.0000000000,22.00001000,0.00000000,-1.00000000,2.098560e-03,-2.121570e-14,3.557380e-04,1.695153e-01,1.545229e+02,1.358408e+00,6.473047e+02,5.462968,1.365742
137.0000000000,22.00001000,0.00000000,0.00000000,2.147691e-03,8.045981e-15,1.073846e-03,5.000000e-01,1.545324e+02,1.358472e+00,6.325266e+02,5.484719,1.371180
137.0000000000,22.00001000,0.00000000,1.00000000,2.196915e-03,-3.543448e-10,1.792066e-03,8.157194e-01,1.545457e+02,1.358558e+00,6.183938e+02,5.642056,1.410514
137.0000000000,22.00001000,0.00000000,2.00000000,2.246235e-03,-2.897098e-11,2.510463e-03,1.117631e+00,1.545629e+02,1.358668e+00,6.048644e+02,5.930218,1.482555
137.0000000000,22.00001000,0.00000000,3.00000000,2.295658e-03,4.587672e-14,3.229100e-03,1.406612e+00,1.545838e+02,1.358800e+00,5.918997e+02,6.344585,1.586146
137.0000000000,22.00001000,0.00000000,4.00000000,2.345189e-03,5.335455e-13,3.948040e-03,1.683464e+00,1.546086e+02,1.358954e+00,5.794646e+02,6.880669,1.720167
137.0000000000,22.00001000,0.00000000,5.00000000,2.394832e-03,2.611257e-12,4.667348e-03,1.948925e+00,1.546372e+02,1.359131e+00,5.675267e+02,7.534117,1.883529
137.0000000000,23.00001000,0.00000000,-6.00000000,1.952274e-03,-5.399122e-11,-3.186595e-03,-1.632248e+00,1.545527e+02,1.358559e+00,6.958853e+02,7.345732,1.836433
137.0000000000,23.00001000,0.00000000,-5.00000000,2.001051e-03,-2.459576e-11,-2.468035e-03,-1.233369e+00,1.545437e+02,1.358513e+00,6.789000e+02,6.675201,1.668800
137.0000000000,23.00001000,0.00000000,-4.00000000,2.049898e-03,-9.585880e-12,-1.749674e-03,-8.535418e-01,1.545385e+02,1.358491e+00,6.627113e+02,6.163723,1.540931
137.0000000000,23.00001000,0.00000000,-3.00000000,2.098821e-03,-2.931745e-12,-1.031449e-03,-4.914419e-01,1.545371e+02,1.358491e+00,6.472637e+02,5.805864,1.451466
137.0000000000,23.00001000,0.00000000,-2.00000000,2.147825e-03,-5.704026e-13,-3.132958e-04,-1.458665e-01,1.545395e+02,1.358513e+00,6.325065e+02,5.596350,1.399088
137.0000000000,23.00001000,0.00000000,-1.00000000,2.196915e-03,-1.925126e-14,4.048486e-04,1.842805e-01,1.545457e+02,1.358558e+00,6.183938e+02,5.530061,1.382515
137.0000000000,23.00001000,0.00000000,0.00000000,2.246095e-03,1.009129e-14,1.123048e-03,5.000000e-01,1.545558e+02,1.358626e+00,6.048835e+02,5.602023,1.400506
137.0000000000,23.00001000,0.00000000,1.00000000,2.295372e-03,-4.093314e-10,1.841365e-03,8.022075e-01,1.545696e+02,1.358716e+00,5.919373e+02,5.807410,1.451853
137.0000000000,23.00001000,0.00000000,2.00000000,2.344750e-03,-4.492746e-12,2.559864e-03,1.091743e+00,1.545873e+02,1.358829e+00,5.795198e+02,6.141535,1.535384
137.0000000000,23.00001000,0.00000000,3.00000000,2.394235e-03,3.624155e-14,3.278608e-03,1.369376e+00,1.546088e+02,1.358964e+00,5.675987e+02,6.599849,1.649962
137.0000000000,23.00001000,0.00000000,4.00000000,2.443831e-03,4.717693e-13,3.997660e-03,1.635817e+00,1.546341e+02,1.359122e+00,5.561441e+02,7.177937,1.794484
137.0000000000,23.00001000,0.00000000,5.00000000,2.493545e-03,2.403098e-12,4.717085e-03,1.891719e+00,1.546632e+02,1.359303e+00,5.451288e+02,7.871511,1.967878
137.0000000000,24.00001000,0.00000000,-7.00000000,2.001800e-03,-1.089652e-10,-3.856725e-03,-1.926628e+00,1.545863e+02,1.358763e+00,6.787708e+02,7.957286,1.989321
137.0000000000,24.00001000,0.00000000,-6.00000000,2.050538e-03,-5.558648e-11,-3.137837e-03,-1.530251e+00,1.545740e+02,1.358699e+00,6.626062e+02,7.184504,1.796126
