T[MeV],muB[MeV],muS[MeV],muQ[MeV],nB[1/fm^3],nS[1/fm^3],nQ[1/fm^3],Q/B,e[MeV/fm^3],s[1/fm^3],s/nB,chi2,chi2/N_dof
143.0000000000,370.00001000,0.00000000,-2.90000000,1.196103e-01,4.842865e-15,5.606219e-02,4.687071e-01,3.670843e+02,2.652744e+00,2.217822e+01,17.998016,2.999669
143.0000000000,370.00001000,0.00000000,-2.80000000,1.196481e-01,4.763358e-15,5.620969e-02,4.697917e-01,3.671424e+02,2.653055e+00,2.217382e+01,17.993340,2.998890
143.0000000000,370.00001000,0.00000000,-2.70000000,1.196859e-01,4.716901e-15,5.635724e-02,4.708760e-01,3.672005e+02,2.653367e+00,2.216941e+01,17.990024,2.998337
143.0000000000,370.00001000,0.00000000,-2.60000000,1.197238e-01,4.632030e-15,5.650484e-02,4.719598e-01,3.672588e+02,2.653679e+00,2.216500e+01,17.988063,2.998011
143.0000000000,370.00001000,0.00000000,-2.50000000,1.197618e-01,4.568214e-15,5.665250e-02,4.730432e-01,3.673172e+02,2.653992e+00,2.216059e+01,17.987455,2.997909
143.0000000000,370.00001000,0.00000000,-2.40000000,1.197998e-01,4.515107e-15,5.680022e-02,4.741262e-01,3.673758e+02,2.654305e+00,2.215618e+01,17.988194,2.998032
143.0000000000,370.00001000,0.00000000,-2.30000000,1.198378e-01,4.409650e-15,5.694800e-02,4.752089e-01,3.674344e+02,2.654619e+00,2.215176e+01,17.990277,2.998380
143.0000000000,370.00001000,0.00000000,-2.20000000,1.198759e-01,4.386093e-15,5.709584e-02,4.762911e-01,3.674931e+02,2.654934e+00,2.214735e+01,17.993700,2.998950
143.0000000000,370.00001000,0.00000000,-2.10000000,1.199141e-01,4.310232e-15,5.724373e-02,4.773730e-01,3.675520e+02,2.655249e+00,2.214293e+01,17.998460,2.999743
143.0000000000,371.00001000,0.00000000,-4.60000000,1.197498e-01,6.806102e-15,5.393435e-02,4.503921e-01,3.673265e+02,2.654020e+00,2.216305e+01,17.998575,2.999762
143.0000000000,371.00001000,0.00000000,-4.50000000,1.197870e-01,6.705148e-15,5.408137e-02,4.514794e-01,3.673831e+02,2.654324e+00,2.215869e+01,17.976949,2.996158
143.0000000000,371.00001000,0.00000000,-4.40000000,1.198243e-01,6.613853e-15,5.422844e-02,4.525663e-01,3.674397e+02,2.654628e+00,2.215434e+01,17.956730,2.992788
143.0000000000,371.00001000,0.00000000,-4.30000000,1.198616e-01,6.500136e-15,5.437557e-02,4.536528e-01,3.674965e+02,2.654932e+00,2.214998e+01,17.937915,2.989652
143.0000000000,371.00001000,0.00000000,-4.20000000,1.198990e-01,6.401453e-15,5.452275e-02,4.547389e-01,3.675533e+02,2.655238e+00,2.214562e+01,17.920498,2.986750
143.0000000000,371.00001000,0.00000000,-4.10000000,1.199364e-01,6.322174e-15,5.466998e-02,4.558247e-01,3.676103e+02,2.655543e+00,2.214126e+01,17.904476,2.984079
143.0000000000,371.00001000,0.00000000,-4.00000000,1.199739e-01,6.264440e-15,5.481728e-02,4.569100e-01,3.676674e+02,2.655849e+00,2.213689e+01,17.889845,2.981641
