T,µB,µQ,µS,p/T^4,s/T^3,nB/T^3,nS/T^3,nQ/T^3,ε/T^4,cs2,chiBB/T^2,chiQQ/T^2,chiSS/T^2,chiBQ/T^2,chiBS/T^2,chiQS/T^2,chiTB/T^2,chiTQ/T^2,chiTS/T^2,chiTT/T^2
30,-800,-800,-800,1.28335418e+06,6.09299131e+04,-1.20161401e+05,-6.83039829e+04,-3.03245269e+05,1.18898598e+07,1.17302884e-01,1.83291889e+04,6.04326670e+04,2.66684214e+04,2.60304824e+04,-9.11224927e+03,9.16459804e+03,-3.20439182e+03,-1.01600776e+04,-4.20586118e+03,6.43286391e+04
30,-800,-800,-600,1.12853656e+06,5.16584082e+04,-1.42548875e+05,-2.63162237e+03,-2.81037818e+05,1.02713994e+07,1.20160432e-01,1.54369925e+04,5.79061338e+04,2.80416376e+03,2.89227993e+04,-7.95921221e+02,1.21381263e+03,-4.51648141e+03,-9.19273149e+03,-8.91569597e+02,5.43549367e+04
30,-800,-800,-400,1.12673102e+06,5.03594632e+04,-1.43384918e+05,2.35776939e+01,-2.80053745e+05,1.02150118e+07,1.20960464e-01,1.51967401e+04,5.72585159e+04,3.62031726e+01,2.92136185e+04,-2.53437573e+01,-1.46970445e+01,-4.69731673e+03,-8.64937804e+03,8.36651300e+00,5.26364240e+04
30,-800,-800,-200,1.12834981e+06,5.08452224e+04,-1.43967614e+05,6.16454721e+02,-2.80626470e+05,1.02408946e+07,1.20889582e-01,1.53558236e+04,5.74069648e+04,1.84439527e+02,2.93727021e+04,-1.84427320e+02,-1.84415374e+02,-4.80411809e+03,-8.72101505e+03,1.51332309e+02,5.30703820e+04
30,-800,-800,0,1.13911839e+06,5.22861586e+04,-1.46402208e+05,3.04950550e+03,-2.83062606e+05,1.03655628e+07,1.20615237e-01,1.57783031e+04,5.78310127e+04,6.08488032e+02,2.97951807e+04,-6.06906792e+02,-6.05324662e+02,-5.03526408e+03,-8.95930623e+03,3.75325181e+02,5.48252904e+04
30,-800,-800,200,1.18089294e+06,5.69453065e+04,-1.54385737e+05,1.10353396e+04,-2.91043135e+05,1.08277245e+07,1.19307258e-01,1.71936244e+04,5.92433178e+04,2.02447013e+03,3.12090652e+04,-2.02297466e+03,-2.02078839e+03,-5.71665347e+03,-9.62545201e+03,1.06807908e+03,5.95904729e+04
30,-800,-800,400,1.32231858e+06,6.87510782e+04,-1.78319285e+05,3.62804799e+04,-3.13502606e+05,1.23454226e+07,1.16810053e-01,2.07448705e+04,6.23521780e+04,6.65728408e+03,3.43177146e+04,-5.93460234e+03,-5.12922700e+03,-7.22674003e+03,-1.07676772e+04,2.86267137e+03,7.21734209e+04
30,-800,-800,600,1.80017232e+06,9.60264712e+04,-2.48855339e+05,1.24413005e+05,-3.65183847e+05,1.71584925e+07,1.15318075e-01,2.90591409e+04,6.83574965e+04,2.32389063e+04,3.97921738e+04,-1.68282716e+04,-1.00735737e+04,-8.96621384e+03,-1.14217498e+04,5.52648644e+03,9.89365258e+04
30,-800,-800,800,3.43260268e+06,1.49831394e+05,-4.37705029e+05,4.25439950e+05,-4.36013326e+05,3.13614502e+07,1.23403977e-01,4.53548118e+04,7.74430506e+04,8.00448753e+04,4.30932149e+04,-4.49389322e+04,-7.95048336e+03,-1.21133444e+04,-1.01227025e+04,1.23743158e+04,1.54052059e+05
30,-800,-600,-800,2.18423814e+05,1.94235798e+04,-1.80264174e+04,-2.82815425e+04,-6.22815978e+04,2.28151065e+06,9.40659217e-02,5.69821784e+03,1.82382728e+04,1.15054162e+04,7.19461187e+03,-3.74362740e+03,4.16163947e+03,-1.52308686e+03,-4.86280297e+03,-1.92852201e+03,2.08319860e+04
30,-800,-600,-600,1.63311708e+05,1.46873073e+04,-2.74217844e+04,-3.84219698e+01,-5.26707801e+04,1.63680722e+06,9.46576338e-02,4.43536822e+03,1.65680577e+04,9.34677525e+01,8.45746164e+03,-2.76070905e+01,3.82535497e+01,-1.98511370e+03,-3.94990210e+03,-1.45605452e+02,1.52313331e+04
30,-800,-600,-400,1.63292691e+05,1.45985580e+04,-2.74313239e+04,-1.61117930e-01,-5.26513896e+04,1.63583778e+06,9.47117442e-02,4.42622582e+03,1.65482807e+04,2.84983629e-01,8.46672456e+03,-6.03343527e-02,-4.83899692e-02,-2.02235895e+03,-3.87844228e+03,-6.47965642e-01,1.49405157e+04
30,-800,-600,-200,1.63333428e+05,1.46952869e+04,-2.74650343e+04,3.22150238e+01,-5.26866436e+04,1.63728088e+06,9.46457197e-02,4.45150919e+03,1.65751333e+04,2.69252079e+01,8.49200793e+03,-2.53437086e+01,-2.37624708e+01,-2.06653805e+03,-3.92977750e+03,3.73751251e+01,1.51005948e+04
30,-800,-600,0,1.64960546e+05,1.52167359e+04,-2.80477313e+04,6.16465872e+02,-5.32677862e+04,1.66355141e+06,9.43288016e-02,4.61059369e+03,1.67326377e+04,1.84430163e+02,8.65109154e+03,-1.84428212e+02,-1.84425371e+02,-2.17335004e+03,-4.02932386e+03,1.51444820e+02,1.56417116e+04
30,-800,-600,200,1.75729257e+05,1.66597378e+04,-3.04837709e+04,3.05304978e+03,-5.57025870e+04,1.78823644e+06,9.45598311e-02,5.03450907e+03,1.71553270e+04,6.10796441e+02,9.07357012e+03,-6.09090219e+02,-6.06693193e+02,-2.41247402e+03,-4.26144003e+03,3.93697490e+02,1.74137279e+04
30,-800,-600,400,2.21913102e+05,2.28032893e+04,-3.99401522e+04,1.38214654e+04,-6.36844465e+04,2.32393605e+06,9.23715096e-02,6.89100363e+03,1.85690124e+04,3.54853779e+03,1.04874412e+04,-2.82599209e+03,-2.02075086e+03,-3.45486002e+03,-4.93369671e+03,1.72284552e+03,2.38476703e+04
30,-800,-600,600,4.73703243e+05,4.28922314e+04,-8.32414703e+04,8.01393815e+04,-8.25515919e+04,5.04278100e+06,9.77380183e-02,1.29407987e+04,2.23100677e+04,2.04419483e+04,1.29636844e+04,-1.21171444e+04,-3.30471098e+03,-5.72289139e+03,-5.75923965e+03,5.21511733e+03,4.51575769e+04
30,-800,-600,800,1.85999385e+06,1.06463294e+05,-2.62120323e+05,4.28074236e+05,-8.18856902e+04,1.82893715e+07,1.07965513e-01,3.23014054e+04,3.44605581e+04,1.05054637e+05,1.22931845e+04,-4.96483687e+04,9.14554883e+03,-9.93177884e+03,-4.95675212e+03,1.35888383e+04,1.07926892e+05
30,-800,-400,-800,2.98927942e+04,4.03032718e+03,-2.21277881e+01,-1.03094768e+04,-9.79146486e+03,3.80199853e+05,9.81575869e-02,1.18323879e+03,2.69838287e+03,5.05422244e+03,5.63308315e+02,-1.68116262e+03,1.69180923e+03,-1.23122265e+02,-9.70026661e+02,-8.14384473e+02,4.71180291e+03
30,-800,-400,-600,1.51132779e+04,2.09945547e+03,-3.45501183e+03,-5.11847904e-02,-6.34860925e+03,1.63768973e+05,1.07890376e-01,6.22614805e+02,2.12712421e+03,1.25766591e-01,1.12393230e+03,-3.72924034e-02,4.92364628e-02,-3.81633767e+02,-6.76351452e+02,-5.38409442e-01,2.44242748e+03
30,-800,-400,-400,1.51150025e+04,2.10907596e+03,-3.45502434e+03,-1.76498305e+00,-6.35014047e+03,1.63820128e+05,1.07866753e-01,6.22602451e+02,2.12868115e+03,1.79401836e+00,1.12394481e+03,-7.68806060e-05,1.58115970e+00,-3.81766850e+02,-6.83376745e+02,-8.27869055e+00,2.48063907e+03
30,-800,-400,-200,1.51133141e+04,2.09971823e+03,-3.45508463e+03,5.81625347e-02,-6.34864720e+03,1.63770236e+05,1.07889732e-01,6.22662709e+02,2.12716212e+03,6.25459550e-02,1.12400506e+03,-6.03354220e-02,-5.83865157e-02,-3.82241455e+02,-6.76596648e+02,4.50727643e-01,2.44365546e+03
30,-800,-400,0,1.51529347e+04,2.19023721e+03,-3.48879595e+03,3.35621463e+01,-6.38256522e+03,1.65172731e+05,1.07264578e-01,6.47946974e+02,2.15265625e+03,2.55573091e+01,1.14928844e+03,-2.53446011e+01,-2.51310025e+01,-4.26431485e+02,-7.21756857e+02,4.36626473e+01,2.57895449e+03
30,-800,-400,200,1.67828371e+04,2.72866781e+03,-4.07293849e+03,6.18665873e+02,-6.96505206e+03,1.91549324e+05,1.02551567e-01,8.08467387e+02,2.31152742e+03,1.88105424e+02,1.30837205e+03,-1.86611642e+02,-1.84427053e+02,-5.41221484e+02,-8.27557740e+02,1.63562630e+02,3.19782915e+03
