#         pdgid       name            stable      mass[GeV]      degeneracy      statistics      B      Q      S      C      |S|      |C|      width[GeV]      threshold[GeV]
        9030213       rho(1900)+      0           1.88600        3              -1               0      1      0      0      0        0        0.077000        0
        9040225       f2(1910)        0           1.90000        5              -1               0      0      0      0      0        0        0.167000        0
        9050225       f2(1950)        0           1.93600        5              -1               0      0      0      0      0        0        0.464000        0
        7110111       a0(1950)0       0           1.93100        1              -1               0      0      0      0      0        0        0.271000        0
        7110211       a0(1950)+       0           1.93100        1              -1               0      1      0      0      0        0        0.271000        0
            119       a4(1970)0       0           1.96700        9              -1               0      0      0      0      0        0        0.324000        0
            219       a4(1970)+       0           1.96700        9              -1               0      1      0      0      0        0        0.324000        0
        9000117       rho3(1990)0     0           1.98200        7              -1               0      0      0      0      0        0        0.188000        0
        9000217       rho3(1990)+     0           1.98200        7              -1               0      1      0      0      0        0        0.188000        0
        7210115       pi2(2005)0      0           1.96300        5              -1               0      0      0      0      0        0        0.370000        0
        7210215       pi2(2005)+      0           1.96300        5              -1               0      1      0      0      0        0        0.370000        0
        9060225       f2(2010)        0           2.01100        5              -1               0      0      0      0      2        0        0.202000        0
        9050221       f0(2020)        0           1.99200        1              -1               0      0      0      0      0        0        0.442000        0
            229       f4(2050)        0           2.01800        9              -1               0      0      0      0      0        0        0.237000        0
        9060221       f0(2100)        0           2.08600        1              -1               0      0      0      0      0        0        0.284000        0
        9010115       pi2(2100)0      0           2.09000        5              -1               0      0      0      0      0        0        0.625000        0
        9010215       pi2(2100)+      0           2.09000        5              -1               0      1      0      0      0        0        0.625000        0
        9040113       rho(2150)0      0           2.15000        3              -1               0      0      0      0      0        0        0.254000        0
        9040213       rho(2150)+      0           2.15000        3              -1               0      1      0      0      0        0        0.254000        0
        9070225       f2(2150)        0           2.15700        5              -1               0      0      0      0      2        0        0.152000        0
        7200333       phi(2170)       0           2.15900        3              -1               0      0      0      0      2        0        0.137000        0
        9070221       f0(2200)        0           2.18700        1              -1               0      0      0      0      0        0        0.207000        0
        9000229       fJ(2220)        0           2.23110        5              -1               0      0      0      0      0        0        0.023000        0
        9080221       eta(2225)       0           2.22100        1              -1               0      0      0      0      0        0        0.185000        0
        9010117       rho3(2250)0     0           2.20000        7              -1               0      0      0      0      0        0        0.158000        0
        9010217       rho3(2250)+     0           2.20000        7              -1               0      1      0      0      0        0        0.158000        0
        9080225       f2(2300)        0           2.29700        5              -1               0      0      0      0      0        0        0.149000        0
        9010229       f4(2300)        0           2.32000        9              -1               0      0      0      0      0        0        0.250000        0
        7030331       f0(2330)        0           2.32400        1              -1               0      0      0      0      0        0        0.194000        0
        9090225       f2(2340)        0           2.34500        5              -1               0      0      0      0      0        0        0.322000        0
        8000117       rho5(2350)0     0           2.33000        11             -1               0      0      0      0      0        0        0.400000        0
        8000217       rho5(2350)+     0           2.33000        11             -1               0      1      0      0      0        0        0.400000        0
        7300221       X(2370)         0           2.34160        1              -1               0      0      0      0      0        0        0.117000        0
        8000229       f6(2510)        0           2.46500        13             -1               0      0      0      0      0        0        0.255000        0
            311       K0              1           0.49400        1              -1               0      0      1      0      1        0        0.000000        0
            321       K+              1           0.49400        1              -1               0      1      1      0      1        0        0.000000        0
            313       K*(892)0        0           0.89200        3              -1               0      0      1      0      1        0        0.050000        0
            323       K*(892)+        0           0.89200        3              -1               0      1      1      0      1        0        0.050000        0
          10313       K1(1270)0       0           1.25300        3              -1               0      0      1      0      1        0        0.090000        0
          10323       K1(1270)+       0           1.25300        3              -1               0      1      1      0      1        0        0.090000        0
          20313       K1(1400)0       0           1.40300        3              -1               0      0      1      0      1        0        0.174000        0
          20323       K1(1400)+       0           1.40300        3              -1               0      1      1      0      1        0        0.174000        0
         100313       K*(1410)0       0           1.41400        3              -1               0      0      1      0      1        0        0.232000        0
         100323       K*(1410)+       0           1.41400        3              -1               0      1      1      0      1        0        0.232000        0
          10311       K0*(1430)0      0           1.42500        1              -1               0      0      1      0      1        0        0.270000        0
