#     is_fitted           pdg1           pdg2      feeddown1      feeddown2           value         error		    #ratio
              1           -211            211             1              1            1.024         0.059008474		#pi-/pi+
              1           -321            321             1              1            0.728         0.033015148		#k-/k+
              1           -2212           2212            1              1            0.1892        0.016202778		#pbar/p
              1            321            211             1              1            0.1797        0.022300897		#k+/pi+
              1            2212           211             1              1            0.1834        0.027000741		#p/pi+
              1           -321            -211            1              1            0.1278        0.015800316 	#k-/pi-
              1           -2212           -211		      1              1            0.0339        0.004990250	    #pbar/pi-
