#     is_fitted           pdg1           pdg2      feeddown1      feeddown2           value         error		    #ratio
              1           -211            211             1              1            1.027         0.059008474		#pi-/pi+
              1           -321            321             1              1            0.637         0.028017851		#k-/k+
              1           -2212           2212            1              1            0.1216        0.010404326		#pbar/p
              1            321            211             1              1            0.1832        0.024101867		#k+/pi+
              1            2212           211             1              1            0.2121        0.032900608		#p/pi+
              1           -321            -211            1              1            0.1136        0.014901342 	#k-/pi-
              1           -2212           -211		      1              1            0.0251        0.003900628	    #pbar/pi-
