#     is_fitted           pdg1           pdg2      feeddown1      feeddown2           value         error		    #ratio
              1           -211            211             1              1            1.048         0.060033324		#pi-/pi+
              1           -321            321             1              1            0.494         0.022090722		#k-/k+
              1           -2212           2212            1              1            0.0331        0.002807134		#pbar/p
              1            321            211             1              1            0.2018        0.024905020		#k+/pi+
              1            2212           211             1              1            0.355         0.050009999		#p/pi+
              1           -321            -211            1              1            0.0951        0.011703846 	#k-/pi-
              1           -2212           -211		      1              1            0.01123       0.001671466	    #pbar/pi-
