#     is_fitted           pdg1           pdg2      feeddown1      feeddown2           value         error		    #ratio
              1           -211            211             1              1            1.019         0.059008474		#pi-/pi+
              1           -321            321             1              1            0.783         0.035014283		#k-/k+
              1           -2212           2212            1              1            0.3204        0.027401642		#pbar/p
              1            321            211             1              1            0.1753        0.021700230	    #k+/pi+
              1            2212           211             1              1            0.1454        0.020200248		#p/pi+
              1           -321            -211            1              1            0.1346        0.016700299 	#k-/pi-
              1           -2212           -211		      1              1            0.04571       0.006730119	    #pbar/pi-
